code_alpha,code_fia,code_plants,target_ci,target_ci2,target_ci3,target_ci4
,,CEMOP,OH,OH,OH,OH
,,CEOC,OH,OH,OH,OH
,,CERCO,MC,MC,MC,MC
CS,040,CHAMA4,OS,OS,OS,OS
,,CHCH7,OH,OH,OH,OH
GC,431,CHCHC4,OH,OH,OH,OH
,,CHCHM,OH,OH,OH,OH
PC,041,CHLA,OS,OS,OS,OS
,,CHRYS15,OH,OH,OH,OH
HZ,,COCO6,OH,OH,OH,OH
,,COCOC,OH,OH,OH,OH
,,COGL3,OH,OH,OH,OH
DG,492,CONU4,OH,OH,OH,OH
DS,490,CORNU,OH,OH,OH,OH
,,CORYL,OH,OH,OH,OH
,,COSE16,OH,OH,OH,OH
,,COSE3,OH,OH,OH,OH
,,COSEO,OH,OH,OH,OH
,,COSES,OH,OH,OH,OH
HT,500,CRATA,OH,OH,OH,OH
,,CRCH,OH,OH,OH,OH
,,CRCR2,OH,OH,OH,OH
,,CRDO2,OH,OH,OH,OH
,,CRER,OH,OH,OH,OH
,,CRMO3,OH,OH,OH,OH
,,CRRI,OH,OH,OH,OH
,,CRSA2,OH,OH,OH,OH
,,CRSU16,OH,OH,OH,OH
,,CRSU5,OH,OH,OH,OH
,,CUAB,OS,OS,OS,OS
AC,051,CUAR,OS,OS,OS,OS
,,CUARA,OS,OS,OS,OS
,,CUARN2,OS,OS,OS,OS
,,CUARS2,OS,OS,OS,OS
CC,052,CUBA,OS,OS,OS,OS
TC,053,CUFO2,OS,OS,OS,OS
,,CUGO,OS,OS,OS,OS
,,CUGOG,OS,OS,OS,OS
,,CUGOP2,OS,OS,OS,OS
,,CUMA,OS,OS,OS,OS
MO,054,CUMA2,OS,OS,OS,OS
CU,050,CUPRE,OS,OS,OS,OS
SA,055,CUSA3,OS,OS,OS,OS
,,DIOSP,OH,OH,OH,OH
,,DIVI5,OH,OH,OH,OH
,,ELAEA,OH,OH,OH,OH
,,ELAN,OH,OH,OH,OH
,,ERJA3,OH,OH,OH,OH
,,EUCA2,OH,OH,OH,OH
,,EUCAL,OH,OH,OH,OH
,,EUCL,OH,OH,OH,OH
,,EUGL,OH,OH,OH,OH
,,EUGLG,OH,OH,OH,OH
,,EUMO5,OH,OH,OH,OH
,,EUPO,OH,OH,OH,OH
,,EUPU,OH,OH,OH,OH
,,EUSI2,OH,OH,OH,OH
,,EUTE,OH,OH,OH,OH
,,EUTO11,OH,OH,OH,OH
,,EUVI,OH,OH,OH,OH
,,FICA,OH,OH,OH,OH
,,FICUS,OH,OH,OH,OH
,,FIPA2,OH,OH,OH,OH
,,FIRU4,OH,OH,OH,OH
,,FRAN2,OH,OH,OH,OH
,,FRANA,OH,OH,OH,OH
,,FRANL,OH,OH,OH,OH
OX,540,FRAXI,OH,OH,OH,OH
,,FRCA6,OH,OH,OH,OH
,,FRCU,OH,OH,OH,OH
,,FRDI2,OH,OH,OH,OH
,,FRGO,OH,OH,OH,OH
,,FRGR2,OH,OH,OH,OH
FL,542,FRLA,OH,OH,OH,OH
,,FRME2,OH,OH,OH,OH
,,FRPA4,OH,OH,OH,OH
GA,544,FRPE,OH,OH,OH,OH
BT,,FRPU7,OH,OH,OH,OH
,,FRUH,OH,OH,OH,OH
VA,547,FRVE2,OH,OH,OH,OH
,,GLEDI,OH,OH,OH,OH
,,GLTR,OH,OH,OH,OH
,,ILAQ80,OH,OH,OH,OH
,,ILAT,OH,OH,OH,OH
,,ILEX,OH,OH,OH,OH
J,,,WJ,WJ,WJ,WJ
SB,604,JUCA,OH,OH,OH,OH
CJ,062,JUCA7,WJ,WJ,WJ,WJ
RJ,059,JUCO11,OS,OS,OS,OS
,,JUCO6,OS,OS,OS,OS
,,JUCOA2,OS,OS,OS,OS
,,JUCOC2,OS,OS,OS,OS
,,JUCOD,OS,OS,OS,OS
,,JUCOM2,OS,OS,OS,OS
,,JUCOS2,OS,OS,OS,OS
AJ,063,JUDE2,WJ,WJ,WJ,WJ
WN,600,JUGLA,OH,OH,OH,OH
CA,603,JUHI,OH,OH,OH,OH
,,JUMA,OH,OH,OH,OH
TW,605,JUMI,OH,OH,OH,OH
OJ,069,JUMO,WJ,WJ,WJ,WJ
,,JUNI,OH,OH,OH,OH
JU,057,JUNIP,WJ,WJ,WJ,WJ
WJ,064,JUOC,WJ,WJ,WJ,WJ
,,JUOCA,WJ,WJ,WJ,WJ
,,JUOCO,WJ,WJ,WJ,WJ
UJ,065,JUOS,WJ,WJ,WJ,WJ
PJ,058,JUPI,OS,OS,OS,OS
,,JURE80,OH,OH,OH,OH
RM,066,JUSC2,WJ,WJ,WJ,WJ
ER,068,JUVI,OS,OS,OS,OS
,,JUVIV,OS,OS,OS,OS
,,KOPA,OH,OH,OH,OH
L,,,WL,WL,WL,WL
,,LAAN2,OH,OH,OH,OH
TA,071,LALA,WL,WL,WL,WL
LL,072,LALY,WL,WL,WL,WL
,,LANO80,OH,OH,OH,OH
WL,073,LAOC,WL,WL,WL,WL
OL,070,LARIX,WL,WL,WL,WL
TO,631,LIDE3,OH,OH,OH,OH
,,LIDED2,OH,OH,OH,OH
,,LIDEE,OH,OH,OH,OH
,,LIST2,OH,OH,OH,OH
,,LITHO,OH,OH,OH,OH
,,LYFL2,OH,OH,OH,OH
,,LYFLA,OH,OH,OH,OH
,,LYFLF,OH,OH,OH,OH
,,LYONO,OH,OH,OH,OH
M,,,OH,OH,OH,OH
,,MADA5,OH,OH,OH,OH
OR,661,MAFU,OH,OH,OH,OH
AL,660,MALUS,OH,OH,OH,OH
,,MAPU,OH,OH,OH,OH
OC,,,OS,OS,OS,OS
OH,,,OH,OH,OH,OH
DI,990,OLTE,OH,OH,OH,OH
OS,,,OS,OS,OS,OS
,,OSKN,OH,OH,OH,OH
,,OSVI,OH,OH,OH,OH
OT,,,OS,OS,OS,OS
WB,101,PIAL,WB,WB,WB,WB
BC,102,PIAR,OS,OS,OS,OS
AR,135,PIAR5,OS,OS,OS,OS
,,PIARA,OS,OS,OS,OS
,,PIARS2,OS,OS,OS,OS
KP,103,PIAT,OS,OS,OS,OS
,,PIAT2,OS,OS,OS,OS
,,PIAT4,OH,OH,OH,OH
FP,104,PIBA,OS,OS,OS,OS
,,PIBAA,OS,OS,OS,OS
,,PIBAB,OS,OS,OS,OS
BR,092,PIBR,OS,OS,OS,OS
ME,140,PICE,OS,OS,OS,OS
SR,090,PICEA,ES,ES,ES,ES
,,PICH4,OH,OH,OH,OH
LP,108,PICO,LP,LP,LP,LP
CP,109,PICO3,OS,OS,OS,OS
,,PICOB,OS,OS,OS,OS
,,PICOC,OS,OS,OS,OS
,,PICOL,LP,LP,LP,LP
,,PICOM,LP,LP,LP,LP
PD,134,PIDI3,OS,OS,OS,OS
PI,106,PIED,OS,OS,OS,OS
ES,093,PIEN,ES,ES,ES,ES
AP,112,PIEN2,OS,OS,OS,OS
,,PIENE,ES,ES,ES,ES
,,PIENM2,ES,ES,ES,ES
LM,113,PIFL2,LM,LM,LM,LM
WS,094,PIGL,OS,OS,OS,OS
,,PIHA7,OS,OS,OS,OS
JP,116,PIJE,OS,OS,OS,OS
SP,117,PILA,OS,OS,OS,OS
CI,118,PILE,OS,OS,OS,OS
,,PILEC,OS,OS,OS,OS
GB,142,PILO,OS,OS,OS,OS
LS,,PILU,OS,OS,OS,OS
BE,095,PIMA,OS,OS,OS,OS
PM,133,PIMO,OS,OS,OS,OS
WP,119,PIMO3,WP,WP,WP,WP
,,PIMOC,OS,OS,OS,OS
AZ,143,PIMOF,OS,OS,OS,OS
,,PIMOM2,OS,OS,OS,OS
BP,120,PIMU,OS,OS,OS,OS
PN,136,PINI,PP,PP,PP,PP
OP,100,PINUS,PP,PP,PP,PP
,,PIPI7,OS,OS,OS,OS
PP,122,PIPO,PP,PP,PP,PP
,,PIPOP,PP,PP,PP,PP
,,PIPOS,PP,PP,PP,PP
BS,096,PIPU,OS,OS,OS,OS
FO,138,PIQU,OS,OS,OS,OS
MP,124,PIRA2,OS,OS,OS,OS
GP,127,PISA2,OS,OS,OS,OS
SS,098,PISI,OS,OS,OS,OS
SW,114,PIST3,OS,OS,OS,OS
,,PISTA,OH,OH,OH,OH
ST,130,PISY,OS,OS,OS,OS
TP,139,PITO,OS,OS,OS,OS
,,PITOI2,OS,OS,OS,OS
,,PITOT2,OS,OS,OS,OS
WE,137,PIWA,OS,OS,OS,OS
SY,730,PLRA,OH,OH,OH,OH
,,PLWR2,OH,OH,OH,OH
,,POAC5,CW,CW,CW,CW
,,POAL7,CW,CW,CW,CW
NC,749,POAN3,CW,CW,CW,CW
BA,741,POBA2,CW,CW,CW,CW
,,POBAB2,CW,CW,CW,CW
CW,747,POBAT,CW,CW,CW,CW
,,POBR7,CW,CW,CW,CW
,,POCA19,CW,CW,CW,CW
,,PODE3,CW,CW,CW,CW
PW,745,PODEM,CW,CW,CW,CW
,,PODEW,CW,CW,CW,CW
FC,748,POFR2,CW,CW,CW,CW
,,POFRF3,CW,CW,CW,CW
,,POFRM,CW,CW,CW,CW
,,POHI8,CW,CW,CW,CW
,,POIN23,CW,CW,CW,CW
,,POJA2,CW,CW,CW,CW
,,PONI,CW,CW,CW,CW
,,POPA11,CW,CW,CW,CW
CO,740,POPUL,CW,CW,CW,CW
AS,746,POTR5,AS,AS,AS,AS
,,PRAM,OH,OH,OH,OH
,,PRAV,OH,OH,OH,OH
,,PRCE,OH,OH,OH,OH
,,PRDO,OH,OH,OH,OH
CH,768,PREM,OH,OH,OH,OH
,,PREME,OH,OH,OH,OH
HM,756,PRGL2,OH,OH,OH,OH
MQ,755,PROSO,OH,OH,OH,OH
SM,758,PRPU,OH,OH,OH,OH
PL,760,PRUNU,OH,OH,OH,OH
VM,757,PRVE,OH,OH,OH,OH
,,PRVID,OH,OH,OH,OH
,,PRVIM,OH,OH,OH,OH
,,PRVIV,OH,OH,OH,OH
OD,200,PSEUD7,DF,DF,DF,DF
BD,201,PSMA,OS,OS,OS,OS
DF,202,PSME,DF,DF,DF,DF
,,PSMEG,DF,DF,DF,DF
,,PSMEM,DF,DF,DF,DF
,,PYCO,OH,OH,OH,OH
LO,801,QUAG,OH,OH,OH,OH
,,QUAGA,OH,OH,OH,OH
,,QUAGO,OH,OH,OH,OH
AW,803,QUAR,OH,OH,OH,OH
,,QUBE5,OH,OH,OH,OH
CY,805,QUCH2,OH,OH,OH,OH
,,QUCHC,OH,OH,OH,OH
,,QUCHN,OH,OH,OH,OH
,,QUCO7,OH,OH,OH,OH
BL,807,QUDO,OH,OH,OH,OH
,,QUDU,OH,OH,OH,OH
,,QUDU4,OH,OH,OH,OH
EM,810,QUEM,OH,OH,OH,OH
EO,811,QUEN,OH,OH,OH,OH
OA,800,QUERC,OH,OH,OH,OH
WO,815,QUGA4,OH,OH,OH,OH
GO,814,QUGA,OH,OH,OH,OH
,,QUGAF,OH,OH,OH,OH
,,QUGAG,OH,OH,OH,OH
,,QUGAG2,OH,OH,OH,OH
,,QUGAS,OH,OH,OH,OH
GR,846,QUGR3,OH,OH,OH,OH
SO,843,QUHY,OH,OH,OH,OH
,,QUJO3,OH,OH,OH,OH
BO,818,QUKE,OH,OH,OH,OH
VO,821,QULO,OH,OH,OH,OH
BK,823,QUMA2,OH,OH,OH,OH
,,QUMO2,OH,OH,OH,OH
CK,826,QUMU,OH,OH,OH,OH
MK,829,QUOB,OH,OH,OH,OH
,,QUPA10,OH,OH,OH,OH
,,QUPA4,OH,OH,OH,OH
,,QURU4,OH,OH,OH,OH
,,QUSA2,OH,OH,OH,OH
,,QUTO2,OH,OH,OH,OH
,,QUTU2,OH,OH,OH,OH
,,QUUN,OH,OH,OH,OH
,,QUVA,OH,OH,OH,OH
IO,839,QUWI2,OH,OH,OH,OH
,,QUWIF,OH,OH,OH,OH
,,QUWIW,OH,OH,OH,OH
,,ROBIN,OH,OH,OH,OH
,,ROHI,OH,OH,OH,OH
,,ROHIF8,OH,OH,OH,OH
,,ROHIH,OH,OH,OH,OH
NM,902,RONE,OH,OH,OH,OH
,,RONEN,OH,OH,OH,OH
,,RONER,OH,OH,OH,OH
RP,901,ROPS,OH,OH,OH,OH
S,,,ES,ES,ES,ES
,,SAAL,OH,OH,OH,OH
,,SAAL2,OH,OH,OH,OH
,,SAALA,OH,OH,OH,OH
,,SAALL,OH,OH,OH,OH
,,SAAM2,OH,OH,OH,OH
,,SABA3,OH,OH,OH,OH
,,SABE2,OH,OH,OH,OH
,,SABO,OH,OH,OH,OH
,,SADE2,OH,OH,OH,OH
,,SAER,OH,OH,OH,OH
,,SAEX,OH,OH,OH,OH
,,SAFR,OH,OH,OH,OH
,,SAGE2,OH,OH,OH,OH
,,SAGL,OH,OH,OH,OH
,,SAGLV,OH,OH,OH,OH
,,SAGO,OH,OH,OH,OH
,,SAHO,OH,OH,OH,OH
,,SALA3,OH,OH,OH,OH
,,SALA6,OH,OH,OH,OH
,,SALAB,OH,OH,OH,OH
,,SALAL2,OH,OH,OH,OH
,,SALI,OH,OH,OH,OH
WI,920,SALIX,OH,OH,OH,OH
,,SALU,OH,OH,OH,OH
,,SALU2,OH,OH,OH,OH
,,SALUC,OH,OH,OH,OH
,,SALUL,OH,OH,OH,OH
,,SAMA12,OH,OH,OH,OH
,,SAME2,OH,OH,OH,OH
,,SAMO2,OH,OH,OH,OH
,,SAMY,OH,OH,OH,OH
,,SAPL2,OH,OH,OH,OH
,,SAPLP4,OH,OH,OH,OH
,,SAPR3,OH,OH,OH,OH
SU,928,SASC,OH,OH,OH,OH
,,SASE10,OH,OH,OH,OH
,,SASI2,OH,OH,OH,OH
,,SATA,OH,OH,OH,OH
GS,212,SEGI2,OS,OS,OS,OS
RW,211,SESE3,OS,OS,OS,OS
PY,231,TABR2,PY,PY,PY,PY
OY,230,TAXUS,PY,PY,PY,PY
RC,242,THPL,RC,RC,RC,RC
TS,240,THUJA,RC,RC,RC,RC
CN,251,TOCA,OS,OS,OS,OS
WH,263,TSHE,WH,WH,WH,WH
MH,264,TSME,OS,OS,OS,OS
HS,260,TSUGA,WH,WH,WH,WH
,,UMBEL,OH,OH,OH,OH
CL,981,UMCA,OH,OH,OH,OH
,,UMCAC,OH,OH,OH,OH
,,UMCAF,OH,OH,OH,OH
